Jurisdiction covered,Type of juridiction covered
Alberta,Subnational
Alberta,Subnational
Argentina,National
Australia,National
Austria,National
British Columbia,Subnational
British Columbia,Subnational
Baja California,Subnational
Beijing,Subnational
Brazil,National
Brunei,National
California,Subnational
Canada,National
Canada,National
Catalonia,Subnational
Chile,National
Chile,National
China,National
Chongqing,Subnational
Colombia,National
Colombia,National
Cote dIvoire,National
Denmark,National
"EU, Norway, Iceland, Liechtenstein",Regional
Estonia,National
Finland,National
France,National
Fujian,Subnational
Germany,National
Guangdong (except Shenzhen),Subnational
Hawaii,Subnational
Hubei,Subnational
Iceland,National
Indonesia,National
Indonesia,National
Ireland,National
Israel,National
Jalisco,Subnational
Japan,National
Japan,National
Kazakhstan,National
"Korea, Republic of",National
Latvia,National
Liechtenstein,National
Luxembourg,National
Malaysia,National
Manitoba,Subnational
Manitoba,Subnational
RGGI,Subnational
Mexico,National
Mexico,National
Montenegro,National
Netherlands,National
New Brunswick,Subnational
New Brunswick,Subnational
New Zealand,National
Newfoundland and Labrador,Subnational
Newfoundland and Labrador,Subnational
Northwest Territories,Subnational
Norway,National
Nova Scotia,Subnational
Ontario,Subnational
Ontario,Subnational
Oregon,Subnational
Pakistan,National
Pennsylvania,Subnational
Poland,National
Portugal,National
Prince Edward Island,Subnational
Quebec,Subnational
RGGI,Subnational
Saitama,Subnational
Russia,Subnational
Saskatchewan,Subnational
Senegal,National
Serbia,National
Shanghai,Subnational
Shenyang,Subnational
Shenzhen,Subnational
Singapore,National
Slovenia,National
South Africa,National
Spain,National
Sweden,National
Switzerland,National
Switzerland,National
TCI,Subnational
Taiwan,Subnational
Tamaulipas,Subnational
Thailand,National
Tianjin,Subnational
Tokyo,Subnational
Turkey,National
United Kingdom,National
United Kingdom,National
Ukraine,National
Ukraine,National
Uruguay,National
Vietnam,National
Virginia,Subnational
Washington,Subnational
Zacatecas,Subnational
